"","X.2","X.1","Edad","nivel_de_educaccion","ORG_BASE","Acceso_a_internet","miembros_familia","informacion_telefono_confianza","Tipo_de_Celular","informacion_telefono","Clima","finaca_uso_cafe","Finaca_hectares","ALTITUD_m_s_n_m","EDAD_DE_CULTIVO","Distanciamiento_entre_plantas","Distanciamiento_entre_filas","alimentos_procedencia","tierra_tenencia","empezar_cultivar_cafe","cafe_suelo_calidad","cafe_tierra","numeroplantasproduccionhectarea","capacitacion_cafe","cafe_pracitcas","num_cafe_pracitcas","distinct_cafe_pracitcas","num_aplic_fertilizers","enfermedades","num_enfermedades","distinct_enfermedades","num_fungal_enfermedades","num_pest_enfermedades","num_other_enfermedades","variedades","num_variedades","distinct_variedades","arbol_bajosombra","num_arbolessombra","distinct_arbolessombra","floracion_normal","floracion","plantas_etapa","X_GPS_longitude","X_GPS_altitude.y","yoloV8_aver","RealCherriesBranch.x","ID","Climate","FarmUseCoffee","FarmArea","Altitude","SoilQuality","CoffeeLand","TypesShadeTrees","DistinctShadeTrees","AltitudeGPS","RealCherriesBranch.y","RH2M_avg","T2M","PR","clase_ufh","distri_adt","profundi","simb_final","p_idh","p_textura","p_profundi","s_uc_fase","municipio","p_humedad","taxonomia","p_temp","p_co","co","p_sat_alum","perfil","pedrego","humedad","unidad_cli","drenaje","vlr_pote_f","sim_clim_f","n_rang_ufh","p_inund","rango_pend","uc_suelo","pendiente","etp_ppt","rango_idh","salinidad","perd_sue","sb","s_uc","ce","sat_alum","p_ph","p_cic","limitante","ph","p_sb","area_ha","p_drenaje","alt_msnm","p_pend","sue_no_sue","inund","cod_depart","temp_med","p_perd_sue","cic","p_salini","departamen","p_sodio","textura","cod_dane_m","p_pedrego","vlr_pote","consecutiv","geometry","X","X_GPS_latitude","X_GPS_altitude","production_farm_yolo","production_farm_real"
"1",1,1,"65__years","primaria_completa","ninguna","no",3,"nada_seguro","smart_phone","no uso mi telefono para esto","frio",4,6,1866,5,1.2,1.3,"comprado__mercado producido_en_la_finaca","dueno","10+","buen_suelo_para_el_cafe","con_pendientes_pronunciadas",6410.25641,"semestral","eliminacion_de_chupones control_de_plagas_y_enfermedades deshierbe",3,3,2,"mancha_de_hierro antracnosis",2,2,1,1,0,"castillo",1,1,"",0,0,"demasiada lluviae","clima_afecta","color_verde_intenso",-75.7580922,1896.1,9.15,13.11458333,1,"frio",4,6,1866,"buen_suelo_para_el_cafe","con_pendientes_pronunciadas",0,0,1896.1,13.11458333,83.62,17.37,3.39,"10",0,"Superficiales","10Lf2s1-30",10,8,4,"MQ69f2","Génova",15,"TYPIC UDORTHENTS",0,10,6,0,"PQ-2","No pedregoso","Udico","Frío húmedo","Bien",31,"L",30,0,"50-75","GEf2","f","0.5 - 1","0,77 - 0,99","No salino","Moderada",0,"MQ69",0,0,8,1,"2s1",5.6,0,81.71527371,10,"2000-3000",10,"Suelo","No hay",63,"43435",-3,0,0,"Quindío",0,"Franco arcillo arenosa",63302,0,73,54286,"c(-75.7580922"," 4.2386126)",4.2386126,1896.1,194.384615384615,251.564102564103
"2",2,2,"4655","primaria_completa","aroma de campo","yes",7,"seguro","smart_phone","informacion de mercado","templado",3.5,5.5,1904,3,1.2,1.5,"producido_en_la_finaca comprado__mercado","dueno","10+","buen_suelo_para_el_cafe","inclinado",5555.555556,"semanal","deshierbe eliminacion_de_chupones",2,2,2,"roya_amarilla",1,1,1,0,0,"castillo",1,1,"",0,0,"mucho invierno","clima_afecta","color_verde_intenso",-75.7587004,1904,18.1,12.01652893,2,"templado",3.5,5.5,1904,"buen_suelo_para_el_cafe","inclinado",0,0,1904,12.01652893,83.62,17.37,3.39,"10",0,"Superficiales","10Qf2s1-30",10,8,4,"MQ69f2","Génova",15,"TYPIC UDORTHENTS",0,10,6,0,"PQ-2","No pedregoso","Udico","Templado húmedo","Bien",31,"Q",30,0,"50-75","GEf2","f","0.5 - 1","0,77 - 0,99","No salino","Moderada",0,"MQ69",0,0,8,1,"2s1",5.6,0,4845.118071,10,"1000-2000",10,"Suelo","No hay",63,"18-24",-3,0,0,"Quindío",0,"Franco arcillo arenosa",63302,0,73,54311,"c(-75.7587004"," 4.2382312)",4.2382312,1904,343.435897435897,220.564102564103
"3",3,3,"4655","secundaria_completa","aroma de campo","yes",5,"poco_seguro","smart_phone","no uso mi telefono para esto","templado",8,25,1595,3,1.2,1.5,"comprado__mercado producido_en_la_finaca","dueno","10+","buen_suelo_para_el_cafe","inclinado",5555.555556,"mensual","deshierbe",1,1,1,"roya_amarilla mancha_de_hierro",2,2,2,0,0,"castillo",1,1,"",0,0,"invierno","clima_afecta","color_verde_intenso",-75.7658966,1595,11.03,14.56730769,3,"templado",8,25,1595,"buen_suelo_para_el_cafe","inclinado",0,0,1595,14.56730769,83.62,17.37,3.39,"10",0,"Superficiales","10Qf2s1-30",10,8,4,"MQ69f2","Génova",15,"TYPIC UDORTHENTS",0,10,6,0,"PQ-2","No pedregoso","Udico","Templado húmedo","Bien",31,"Q",30,0,"50-75","GEf2","f","0.5 - 1","0,77 - 0,99","No salino","Moderada",0,"MQ69",0,0,8,1,"2s1",5.6,0,4845.118071,10,"1000-2000",10,"Suelo","No hay",63,"18-24",-3,0,0,"Quindío",0,"Franco arcillo arenosa",63302,0,73,54311,"c(-75.7658966"," 4.2127864)",4.2127864,1595,182,205.410256410256
"4",4,4,"4655","primaria_incompleta","ninguna","no",6,"seguro","non_internet_capable_phone","no uso mi telefono para esto","templado",2.5,5,1760,5,1.2,1.4,"comprado__mercado","dueno","10+","buen_suelo_para_el_cafe","inclinado",5952.380952,"mensual","deshierbe ferti_plag_enfere",2,2,3,"roya_amarilla",1,1,1,0,0,"castillo",1,1,"guamo mandarina aguacate platano limon",5,5,"normal","normal","color_verde_intenso",-76.5483461,1898.7,5.3,13.525,4,"templado",2.5,5,1760,"buen_suelo_para_el_cafe","inclinado",5,5,1898.7,13.525,83.82,15.73,0.6,"5",0,"Profundo","05Qc2s1-61",10,6,10,"AQ6c2","Cajibío",15,"TYPIC HAPLUDANDS",0,3,12.2,0,"CC-05","No pedregoso","Udico","Templado húmedo","Bien",62,"Q",61,0,"45998","AQCc2","c","0.5 - 1","0,77 - 0,99","No salino","Moderada",8,"AQ6",0,0,4,5,"2s1",5.1,0,9882.313343,10,"1000-2000",10,"Suelo","No hay",19,"18-24",-3,54.9,0,"Cauca",0,"Franco arenosa",19130,0,70,19018,"c(-76.5483461"," 2.6222684)",2.6222684,1898.7,95.4444444444444,240.444444444444
"5",5,5,"1825","educacion_tecnica","ninguna","yes",4,"poco_seguro","smart_phone","recomendaciones agricolas","templado",0.18,1,1700,4,1.4,1.9,"producido_en_la_finaca comprado__mercado","dueno","he_empezado_recientemente","buen_suelo_para_el_cafe","inclinado",3759.398496,"mensual","poda control_de_plagas_y_enfermedades deshierbe ferti_plag_enfere",4,4,2,"roya_amarilla",1,1,1,0,0,"castillo",1,1,"guamo platano mandaron naranjo",4,4,"se atraso la floración a comparación del año pasado","retrasada","color_verde_intenso",-76.5488061,1857.5,8.41,17.16574586,5,"templado",0.18,1,1700,"buen_suelo_para_el_cafe","inclinado",4,4,1857.5,17.16574586,83.82,15.73,0.6,"5",0,"Profundo","05Qc2s1-61",10,6,10,"AQ6c2","Cajibío",15,"TYPIC HAPLUDANDS",0,3,12.2,0,"CC-05","No pedregoso","Udico","Templado húmedo","Bien",62,"Q",61,0,"45998","AQCc2","c","0.5 - 1","0,77 - 0,99","No salino","Moderada",8,"AQ6",0,0,4,5,"2s1",5.1,0,9882.313343,10,"1000-2000",10,"Suelo","No hay",19,"18-24",-3,54.9,0,"Cauca",0,"Franco arenosa",19130,0,70,19018,"c(-76.5488061"," 2.6197142)",2.6197142,1857.5,224.888888888889,345.222222222222
"6",6,6,"4655","primaria_incompleta","ninguna","yes",5,"seguro","smart_phone","recomendaciones agricolas","templado",1.3,5.2,1800,4,1.2,1.2,"comprado__mercado producido_en_la_finaca","dueno","10+","suelo_pobre_para_el_cafe","inclinado",6944.444444,"mensual","eliminacion_de_chupones control_de_plagas_y_enfermedades deshierbe ferti_plag_enfere",4,4,2,"roya_amarilla",1,1,1,0,0,"castillo",1,1,"platano guamo",2,2,"cambio el tiempo denfloracion","retrasada","color_verde_intenso",-76.5475265,1901.1,7.44,12.52444444,6,"templado",1.3,5.2,1800,"suelo_pobre_para_el_cafe","inclinado",2,2,1901.1,12.52444444,83.82,15.73,0.6,"5",0,"Profundo","05Qc2s1-61",10,6,10,"AQ6c2","Cajibío",15,"TYPIC HAPLUDANDS",0,3,12.2,0,"CC-05","No pedregoso","Udico","Templado húmedo","Bien",62,"Q",61,0,"45998","AQCc2","c","0.5 - 1","0,77 - 0,99","No salino","Moderada",8,"AQ6",0,0,4,5,"2s1",5.1,0,9882.313343,10,"1000-2000",10,"Suelo","No hay",19,"18-24",-3,54.9,0,"Cauca",0,"Franco arenosa",19130,0,70,19018,"c(-76.5475265"," 2.6202303)",2.6202303,1901.1,133.296296296296,208.740740740741
"7",7,7,"5665","primaria_incompleta","caficauca","yes",3,"nada_seguro","smart_phone","no uso mi telefono para esto","templado",0.91,3,1700,2,1.3,1.4,"producido_en_la_finaca comprado__mercado","se_alquila_todo_el_terreno","10+","buen_suelo_para_el_cafe","inclinado",5494.505495,"semestral","eliminacion_de_chupones control_de_plagas_y_enfermedades",2,2,2,"roya_amarilla",1,1,1,0,0,"castillo",1,1,"nacederos",1,1,"floreció se varios momentos poco","poca","cabeza_de_alfiler",-76.6048762,1667.8,13.78,16.11111111,7,"templado",0.91,3,1700,"buen_suelo_para_el_cafe","inclinado",1,1,1667.8,16.11111111,86.65,20.7,2.37,"6",0,"Profundo","06Pd2s1-55",10,6,10,"AQ6d2","Morales",15,"TYPIC HAPLUDANDS",0,3,12.2,0,"CC-05","No pedregoso","Udico","Templado muy húmedo","Bien",53,"P",55,0,"45992","AQCd2","d","0.25 - 0.5","0,77 - 0,99","No salino","Moderada",8,"AQ6",0,0,4,5,"2s1",5.1,0,5043.851808,10,"1000-2000",10,"Suelo","No hay",19,"18-24",-3,54.9,0,"Cauca",0,"Franco arenosa",19473,0,70,87170,"c(-76.6048762"," 2.7686128)",2.7686128,1667.8,41.3333333333333,48.3333333333333
"8",8,8,"3645","secundaria_completa","ninguna","no",4,"poco_seguro","smart_phone","no uso mi telefono para esto","templado",0.18,5,1800,9,1.2,1.5,"comprado__mercado producido_en_la_finaca","la_mayor_parte_de_la_tierra_es_propiedad","10+","buen_suelo_para_el_cafe","inclinado",5555.555556,"anual","poda eliminacion_de_chupones control_de_plagas_y_enfermedades deshierbe ferti_plag_enfere",5,5,1,"antracnosis",1,1,0,1,0,"castillo cenicafe_1",2,2,"naranjos aguacates guamo guayaba",4,4,"todo el tiempo floreció","florece todo el tiempo","varias_etapas",-76.7006816,1740.417969,19.48,30.33333333,8,"templado",0.18,5,1800,"buen_suelo_para_el_cafe","inclinado",4,4,1740.417969,30.33333333,86.75,18.58,1.28,"5",0,"Profundo","05Qd2s1-61",10,8,10,"AQ12d2","Timbío",15,"OXIC DYSTRUDEPTS",0,8,1.8,0,"RC-85","No pedregoso","Udico","Templado húmedo","Bien",61,"Q",61,0,"45992","AQBd2","d","0.5 - 1","0,77 - 0,99","No salino","Moderada",2.1,"AQ12",0,0,8,4,"2s1",6,0,7179.174518,10,"1000-2000",10,"Suelo","No hay",19,"18-24",-3,18.7,0,"Cauca",0,"Franco arcillo arenosa",19807,0,80,152048,"c(-76.7006816"," 2.4429289)",2.4429289,1740.41796875,445.962962962963,680.814814814815
"9",9,9,"5665","primaria_completa","caficauca","no",5,"muy_seguro","smart_phone","no uso mi telefono para esto","templado",2,2,1800,2,1.2,1.3,"comprado__mercado","la_mayor_parte_de_la_tierra_es_propiedad","10+","buen_suelo_para_el_cafe","inclinado",6410.25641,"mensual","poda eliminacion_de_chupones control_de_plagas_y_enfermedades ferti_plag_enfere deshierbe",5,5,1,"antracnosis mancha_de_hierro",2,2,1,1,0,"castillo caturra",2,2,"aguacates platano",2,2,"está floreciendo todo el tiempo","florece todo el tiempo","varias_etapas",-76.6682966,1769.000488,19.07,26.31703704,9,"templado",2,2,1800,"buen_suelo_para_el_cafe","inclinado",2,2,1769.000488,26.31703704,86.75,18.58,1.28,"5",0,"Profundo","05Qd2s1-61",10,8,10,"AQ12d2","Timbío",15,"OXIC DYSTRUDEPTS",0,8,1.8,0,"RC-85","No pedregoso","Udico","Templado húmedo","Bien",61,"Q",61,0,"45992","AQBd2","d","0.5 - 1","0,77 - 0,99","No salino","Moderada",2.1,"AQ12",0,0,8,4,"2s1",6,0,7179.174518,10,"1000-2000",10,"Suelo","No hay",19,"18-24",-3,18.7,0,"Cauca",0,"Franco arcillo arenosa",19807,0,80,152048,"c(-76.6682966"," 2.4031166)",2.4031166,1769.00048828125,502.740740740741,657.925925925926
"10",10,10,"4655","primaria_incompleta","ninguna","yes",10,"seguro","smart_phone","recomendaciones agricolas","templado",1.5,1.8,1685,5,1.3,1.5,"producido_en_la_finaca comprado__mercado","dueno","10+","buen_suelo_para_el_cafe","plano__recto",5128.205128,"anual","eliminacion_de_chupones deshierbe ferti_plag_enfere",3,3,1,"antracnosis ojo_de_gallo",2,2,1,1,0,"supremo",1,1,"cascarilla guyabo",2,2,"no es floración normal","retrasada","cabeza_de_alfiler",-76.5381656,0,9.41,9.566666667,10,"templado",1.5,1.8,1685,"buen_suelo_para_el_cafe","plano__recto",2,2,0,9.566666667,83.82,15.73,0.6,"4",0,"Profundo","04Qb-67",10,6,10,"AQ6b","Piendamó",15,"TYPIC HAPLUDANDS",0,3,12.2,0,"CC-05","No pedregoso","Udico","Templado húmedo","Bien",68,"Q",67,0,"45841","AQCb","b","0.5 - 1","0,77 - 0,99","No salino","Baja",8,"AQ6",0,0,4,5,"Sin limitante",5.1,0,1524.944078,10,"1000-2000",10,"Suelo","No hay",19,"18-24",0,54.9,0,"Cauca",0,"Franco arenosa",19548,0,73,101380,"c(-76.5381656"," 2.6668267)",2.6668267,0,12.2037037037037,12.2962962962963
